Country,Elec/1000 - 2013,Elec/1000 - 2014
China,0.003569877,0.00371391
United States of America,0.012225019,0.01226942
India,0.000706172,0.000750907
Japan,0.0075321,0.007350062
Russia,0.006139811,0.006194813
Germany,0.006630787,0.006581911
Canada,0.015102171,0.014857705
Brazil,0.002469178,0.002512108
South Korea,0.009714287,0.009817314
France,0.006899064,0.006481576
United Kingdom,0.005031738,0.004788587
Italy,0.004924383,0.004791441
Saudi Arabia,0.008178127,0.008806187
Mexico,0.001887227,0.001901236
Spain,0.005078145,0.005045035
Australia,0.009640046,0.009525777
Iran,0.002607009,0.002788119
South Africa,0.003975671,0.00391866
Turkey,0.002600211,0.002673939
Indonesia,0.000729831,0.000765747
Thailand,0.002400786,0.002424925
Ukraine,0.003335462,0.003158575
Egypt,0.001593504,0.001592991
Poland,0.003681196,0.003727392
Malaysia,0.004257699,0.004372545
Sweden,0.013485074,0.013118723
Vietnam,0.001236424,0.001378333
Norway,0.023322124,0.022639009
Argentina,0.002588712,0.002692847
Netherlands,0.006514678,0.006386248
United Arab Emirates,0.010202644,0.01051099
Kazakhstan,0.005005206,0.005259203
Pakistan,0.000455596,0.000445697
Belgium,0.007460702,0.007241456
Finland,0.0150298,0.014807962
Venezuela,0.003138987,0.002553827
Philippines,0.000657027,0.000670343
Chile,0.003698234,0.003697636
Austria,0.007729787,0.007594862
Czech Republic,0.005738273,0.005708365
Colombia,0.001253959,0.00125662
Switzerland,0.007351534,0.007048931
Kuwait,0.013892432,0.014290933
Greece,0.004784878,0.004831624
Israel,0.006257329,0.006163502
Algeria,0.001183712,0.001263813
Romania,0.002332683,0.002418312
Uzbekistan,0.001548699,0.001556612
Bangladesh,0.000273604,0.000290208
Portugal,0.00441282,0.004426704
Singapore,0.008162804,0.008318932
Iraq,0.001292129,0.001184686
New Zealand,0.008880021,0.008843471
Peru,0.001221757,0.001258319
Hungary,0.003730889,0.00380899
Qatar,0.01448108,0.015666879
Belarus,0.003449311,0.003457532
Denmark,0.00584608,0.005716403
Bulgaria,0.004188314,0.004272395
Morocco,0.00083695,0.000851235
Serbia,0.004046818,0.003941805
Slovakia,0.004700385,0.004786688
Oman,0.005834019,0.005942555
Ireland,0.005338971,0.005357309
Bahrain,0.01706431,0.018024289
Nigeria,0.000133376,0.000134888
Ecuador,0.001280997,0.001327037
Azerbaijan,0.001952389,0.002054735
Iceland,0.054415253,0.053444008
Syria,0.001013374,0.000909919
Lebanon,0.002907499,0.002808302
Jordan,0.002046348,0.002095818
Croatia,0.003635059,0.003651873
Cuba,0.001328983,0.001343841
Tunisia,0.001317375,0.001347213
North Korea,0.000603641,0.000585471
Turkmenistan,0.002386563,0.002529023
Slovenia,0.006282158,0.006251031
Mozambique,0.000429326,0.000453143
Dominican Republic,0.001166572,0.001173945
Tajikistan,0.001660446,0.001420953
Bosnia,0.003039885,0.002967738
Kyrgyzstan,0.001899986,0.001905331
Myanmar,0.000175876,0.000203011
Sri Lanka,0.000508701,0.000507074
Zambia,0.000722612,0.000669281
Uruguay,0.002920566,0.003017971
Sudan,0.000211389,0.000252681
Lithuania,0.00327739,0.003376569
Georgia,0.002409354,0.002633442
Paraguay,0.001379594,0.001479126
Libya,0.001977696,0.001479176
Ghana,0.00036855,0.000343667
Costa Rica,0.001924651,0.001930681
Trinidad,0.006453376,0.006695942
Guatemala,0.000539589,0.000558957
Estonia,0.006118603,0.00622798
Angola,0.000300026,0.000334151
Zimbabwe,0.000542319,0.000521789
Panama,0.001961241,0.002006627
Kenya,0.000163584,0.000168737
Bolivia,0.000671524,0.000714723
Macedonia,0.003414134,0.003335381
Latvia,0.003378387,0.003426543
Ethiopia,6.37E-05,6.90E-05
Luxemburg,0.011319935,0.011067175
Cameroon,0.000243726,0.000267162
El Salvador,0.000961491,0.000938408
Mongolia,0.00180713,0.001919893
Honduras,0.000684676,0.000660175
Yemen,0.000227192,0.000199255
Armenia,0.001735056,0.001702062
Tanzania,9.14E-05,9.71E-05
Albania,0.001571124,0.001731721
Afghanistan,0.000148797,0.000148149
Cambodia,0.000217137,0.00026452
Brunei,0.00906199,0.009455718
Nepal,0.000132222,0.000139981
Laos,0.000449469,0.000589299
Cyprus,0.003388265,0.003405706
Moldova,0.001281505,0.001078429
Namibia,0.001603798,0.001556988
Botswana,0.00196261,0.001644317
Nicaragua,0.000577347,0.000559712
Papua New Guinea,0.000401451,0.000403721
Senegal,0.000190805,0.000203415
Jamaica,0.000988702,0.001028371
Montenegro,0.00439554,0.004446181
Uganda,7.33E-05,7.25E-05
Mauritius,0.002035843,0.002050639
Bhutan,0.002499215,0.002805199
Gabon,0.001134183,0.001242184
Malta,0.004634295,0.00470793
Malawi,0.000106268,0.000115475
Suriname,0.003602025,0.003579651
Bahamas,0.004189222,0.004217186
Swaziland,0.001066997,0.001156888
Mali,7.60E-05,8.28E-05
Madagascar,5.63E-05,5.70E-05
Burkina Faso,6.89E-05,6.78E-05
Niger,5.93E-05,6.23E-05
Togo,0.000144613,0.000154878
Benin,9.30E-05,9.64E-05
Guinea,7.61E-05,7.42E-05
Barbados,0.003228284,0.003140659
Fiji,0.000905192,0.000901201
Mauritania,0.000186592,0.000198434
Guyana,0.000880382,0.001007995
Lesotho,0.000358127,0.000362697
Rwanda,4.54E-05,4.58E-05
Belize,0.001268184,0.001243937
Burundi,3.16E-05,3.52E-05
Djibouti,0.000402311,0.000424573
Haiti,3.84E-05,3.35E-05
St. Lucia,0.001836483,0.001802826
Cape Verde,0.000606851,0.000633384
Seychelles,0.003382759,0.003561269
Somalia,3.02E-05,3.01E-05
Maldives,0.000717023,0.000758379
Antigua and Barbuda,0.003327888,0.003325083
Liberia,6.50E-05,6.77E-05
The Gambia,0.00012703,0.000144694
Sierra Leone,3.18E-05,3.90E-05
St. Kitts and Nevis,0.003425351,0.003469897
Chad,1.28E-05,1.37E-05
Grenada,0.001652471,0.001664332
Central African Republic,3.06E-05,3.29E-05
St. Vincent and the Grenadines,0.001165403,0.001182059
Samoa,0.000566626,0.00058172
Equatorial Guinea,0.000107342,0.000111027
Dominica,0.001239914,0.001247011
Solomon Islands,0.000140988,0.000138158
Sao Tome and Principe,0.000336539,0.000349358
Vanuatu,0.000202042,0.000215541
Tonga,0.000433426,0.000440399
Comoros,5.20E-05,5.31E-05
Guinea-Bissau,1.69E-05,1.76E-05
Kiribati,0.000222767,0.000252557
Nauru,0.002204444,0.002284788
