"","Country","Rad2013","Rad2014","Rad2015","GDP2013","GDP2014","GDP2015","Veh2013","Veh2014","Veh2015","Elec2013","Elec2014"
"1","Albania",41.45579103,35.71194068,37.63403085,4412.345578,4568.568827,3945.217582,0.859613098,0.950355502,0.951831445,0.001571124,0.001731721
"2","Algeria",126.8329722,130.9833372,149.2730683,5491.614414,5484.066806,4206.031232,7.983368833,6.328604465,4.573126268,0.001183712,0.001263813
"3","Angola",35.01326029,46.27455946,30.27978528,5327.148892,5232.7623,4101.472152,1.236768602,1.473530684,0.719367705,0.000300026,0.000334151
"4","Argentina",103.8281874,131.2065516,163.6491949,13027.20482,12324.93879,13431.87834,22.65997723,14.28216912,13.95620193,0.002588712,0.002692847
"5","Armenia",24.82461019,16.5204444,16.85913036,3716.828923,3861.91557,3489.12769,1.801354993,1.86284535,0.828442211,0.001735056,0.001702062
"6","Australia",200.9350292,180.3991428,348.8875589,67652.68321,61995.8297,56310.96299,49.15039365,47.44374019,48.58499597,0.009640046,0.009525777
"7","Austria",50.26726616,43.41693423,49.0523381,50504.71532,51322.63997,43774.98517,42.20735608,40.06462508,40.59847025,0.007729787,0.007594862
"8","Azerbaijan",38.92648894,30.9312592,34.9024784,7811.621418,7886.459144,5496.34464,2.410585081,2.642872702,1.087930817,0.001952389,0.002054735
"9","Bahamas",268.5388828,182.799292,562.7121352,22554.45412,22497.44971,22817.23086,7.410524533,6.526494959,9.020176847,0.004189222,0.004217186
"10","Bahrain",175.5448794,190.0934703,183.6343345,24113.52484,24514.99913,22600.2141,39.27592971,44.86280499,42.3311311,0.01706431,0.018024289
"11","Bangladesh",1.965539082,2.394819939,2.834095348,954.3963997,1086.800087,1211.701531,0.270429529,0.326256043,0.340381884,0.000273604,0.000290208
"12","Belarus",122.3901331,42.70241485,58.03542521,7722.123351,8025.304356,5740.456495,2.535389816,2.72065802,2.712078209,0.003449311,0.003457532
"13","Belgium",121.9720398,100.8104824,103.8242927,46508.11872,47346.79282,40324.02777,48.92675969,48.54818442,50.64133696,0.007460702,0.007241456
"14","Belize",83.92093971,78.72484405,106.2548882,4723.594355,4884.368562,4878.721267,1.191192151,1.137313552,2.226632191,0.001268184,0.001243937
"15","Bolivia",76.61877757,99.43516722,109.494387,2948.032472,3124.085434,3076.791811,2.153860444,2.925613576,1.99539288,0.000671524,0.000714723
"16","Bosnia",54.05994927,35.03945196,46.95314107,4748.040692,4852.318649,4249.330313,2.751382033,2.488504419,2.440678393,0.003039885,0.002967738
"17","Botswana",139.4213672,155.6760395,132.224523,6806.658939,7153.447859,6360.13822,17.66865303,15.67612054,17.06088659,0.00196261,0.001644317
"18","Brazil",67.04993524,65.28438096,69.66079,12071.77799,11728.79939,8538.589975,18.44404921,16.97422205,12.35990644,0.002469178,0.002512108
"19","Brunei",153.648004,162.6257205,221.2302806,43970.53194,41023.88988,30554.72967,47.63073543,57.49962865,40.1712714,0.00906199,0.009455718
"20","Bulgaria",54.56816582,38.52137158,59.7437361,7674.860559,7853.335191,6993.47736,3.161133719,3.80291193,5.609926231,0.004188314,0.004272395
"21","Burkina Faso",11.17401133,8.577025513,13.23708671,698.3350349,696.8562068,589.7744141,0.064385643,0.051167768,0.077324271,6.89e-05,6.78e-05
"22","Burundi",1.405031302,1.782680001,2.761894462,259.3652082,286.0023359,277.0683092,0.050640367,0.036979308,0.035781629,3.16e-05,3.52e-05
"23","Cambodia",16.53254249,7.364691963,15.44027214,1024.60887,1094.576688,1158.689904,0.225485663,0.267481969,0.391580405,0.000217137,0.00026452
"24","Cameroon",21.76986116,15.22569652,20.19728344,1331.200021,1407.403413,1217.26067,0.19809856,0.19321114,0.179916372,0.000243726,0.000267162
"25","Canada",1147.0106,1223.489743,1840.326534,52266.17568,50185.4815,43248.52991,50.64706947,53.18493105,54.11026523,0.015102171,0.014857705
"26","Chile",66.14491615,82.27608194,100.4281168,15764.75545,14566.14905,13416.23004,22.62441843,19.90272058,16.59141189,0.003698234,0.003697636
"27","China",18.56371908,15.52928013,17.77219338,7077.770594,7683.502038,8027.68381,16.19596502,17.22459704,17.93846575,0.003569877,0.00371391
