Country,Vehicle/1000 - 2013,Vehicle/1000 - 2014,Vehicle/1000 - 2015
China,16.19596502,17.22459704,17.93846575
United States of America,50.19616901,51.81022124,54.35481034
Japan,42.21431768,43.75685706,39.7493048
Germany,39.66405461,41.44991819,43.47977222
India,2.53325897,2.452733531,2.612665133
United Kingdom,40.47691885,44.00071131,46.99860444
Brazil,18.44404921,16.97422205,12.35990644
France,33.45919109,33.2490525,35.10176155
Canada,50.64706947,53.18493105,54.11026523
South Korea,30.736244,32.95790661,36.22862615
Italy,23.58825956,24.56043958,28.37710253
Russia,20.89550935,18.02533562,9.978916119
Mexico,8.893979558,9.055321266,10.64145442
Spain,17.65227811,22.15495825,27.51199102
Iran,10.43064805,16.47734779,15.44698831
Australia,49.15039365,47.44374019,48.58499597
Indonesia,4.894414128,4.697923181,4.004529907
Turkey,11.71715247,10.41597709,12.85429773
Saudi Arabia,24.50245854,26.81426492,26.31864963
Thailand,19.72812375,13.02026214,11.73611717
Malaysia,22.25639642,22.28904645,21.97994943
South Africa,12.23383888,11.92231097,11.24060446
Argentina,22.65997723,14.28216912,13.95620193
Belgium,48.92675969,48.54818442,50.64133696
Netherlands,28.6303042,26.7029817,30.77184687
Poland,9.284836492,10.32512723,11.38012522
Sweden,32.60985842,36.35138215,40.48354142
Switzerland,42.49020873,41.32598674,43.76143964
Austria,42.20735608,40.06462508,40.59847025
Egypt,3.23008074,3.897089596,3.629187559
Chile,22.62441843,19.90272058,16.59141189
Philippines,2.17234149,2.367864655,2.866045024
Colombia,6.05799926,6.572313136,5.64808874
Israel,26.73863143,29.50448531,31.0486373
Czech Republic,17.68443883,20.48331518,24.64833684
United Arab Emirates,29.10405313,28.9561936,28.03331192
Denmark,37.54969784,39.28660976,43.24945622
Pakistan,0.78247105,0.793766742,1.21576368
Portugal,12.11489204,16.5710963,20.64559544
Vietnam,1.077234165,1.483121696,2.287844124
Norway,35.44396897,35.0914656,36.58754627
Algeria,7.983368833,6.328604465,4.573126268
Peru,6.58671564,6.040102866,5.497810953
Oman,55.03067384,49.196694,37.32289717
Ireland,18.94093766,24.9034864,32.49960189
Kuwait,42.15723731,40.57956032,36.9464931
New Zealand,25.50460368,28.05242034,28.96142046
Morocco,3.609725091,3.598339363,3.837101528
Finland,21.57907781,21.99262768,22.52384298
Romania,3.553697507,5.039736091,6.080508001
Hungary,7.376366637,8.991971595,10.25253624
Kazakhstan,9.727462574,9.460285783,5.551715714
Slovakia,13.89221141,15.12554144,16.60954453
Qatar,40.4513803,42.77035908,38.65157883
Ecuador,7.26707954,7.546729166,5.116336891
Greece,5.706228544,7.038385342,7.580010296
Singapore,6.317832286,8.672101188,14.20216289
Slovenia,29.02105048,30.03617882,33.42042323
Bahrain,39.27592971,44.86280499,42.3311311
Uzbekistan,1.901253836,1.888957887,1.856259685
Panama,12.69154578,13.496969,14.32883167
Bangladesh,0.270429529,0.326256043,0.340381884
Libya,7.181629965,7.189665288,8.616792903
Costa Rica,7.691599987,8.848988336,10.98203979
Ukraine,5.119719672,2.335763366,1.158032842
Luxemburg,93.65061837,97.64541567,90.59008981
Uruguay,17.91506906,16.53684323,14.8107782
Iraq,3.445003639,2.486300329,1.350780179
Tunisia,4.317273688,4.628703417,4.366301158
Croatia,7.946774306,9.483792073,10.3370795
Lebanon,7.092882718,7.180917789,6.956381437
Bulgaria,3.161133719,3.80291193,5.609926231
Syria,2.230549492,2.114797719,2.145666081
Botswana,17.66865303,15.67612054,17.06088659
Guatemala,1.778112808,1.860698146,1.909086253
Paraguay,4.732688914,4.731005699,4.247548961
Nigeria,0.300897165,0.30370306,0.144894159
Belarus,2.535389816,2.72065802,2.712078209
Serbia,3.740857929,3.898703274,3.521996346
Estonia,17.74131504,18.90007569,18.99469359
Lithuania,5.945858405,6.492707086,8.026598868
Jordan,4.019497613,3.209241321,3.002154046
Bolivia,2.153860444,2.925613576,1.99539288
Trinidad,11.05144485,11.81262519,14.41083224
Angola,1.236768602,1.473530684,0.719367705
Latvia,7.194505544,8.155856558,9.012656436
Brunei,47.63073543,57.49962865,40.1712714
Sri Lanka,0.583118713,0.746232728,0.810836593
Dominican Republic,2.071700685,2.34481392,1.500704144
Iceland,24.77730693,32.46626307,47.46949275
Venezuela,3.265882317,0.772370288,0.472545994
Laos,1.367784273,2.197539354,2.146420264
Kenya,0.297531307,0.300912212,0.306186917
El Salvador,1.872030615,1.931985593,2.023966704
Cyprus,6.962717185,8.18873531,10.15532481
Honduras,1.528845687,1.456978929,1.399370407
Nicaragua,1.564169814,1.563042232,1.841489818
Mauritius,8.103901552,8.406466952,8.474542711
Azerbaijan,2.410585081,2.642872702,1.087930817
Bosnia,2.751382033,2.488504419,2.440678393
Malta,14.90880404,16.45903726,18.38254898
Tajikistan,0.77540461,0.771471002,0.754551923
Cambodia,0.225485663,0.267481969,0.391580405
Nepal,0.197593093,0.294590286,0.206918078
Jamaica,1.731334465,1.837860965,2.164390205
